qid,mode,config,lambda,num_segments,coverage,precision,selected_texts,gold_answer
multistep_7_p1,MULTI_STEP,fixed_default,0.05,3,0.3333333333333333,0.3333333333333333,"[NODE: multistep_7_program_a] type=row | Year: 2006 | Agency: Capital Markets Regulation Division | Program: Disaster Relief | Priority Outlays: $8,707. ||| [NODE: lookup_6_record] type=row | Year: 2005 | Agency: Infrastructure Finance Office | Program: Strategic Infrastructure Bonds | Allocations: $5,822 | The reported allocations for Strategic Infrastructure Bonds under Infrastructure Finance Office in 2005 were $5,822. ||| [NODE: compute_17_year_a] type=row | Year: 2016 | Agency: Congressional Appropriations Liaison | Program: Border Security Allocations | Administrative costs: $11,887.","$17,746"
multistep_7_p1,MULTI_STEP,fixed_best,0.1,1,0.3333333333333333,1.0,"[NODE: multistep_7_program_a] type=row | Year: 2006 | Agency: Capital Markets Regulation Division | Program: Disaster Relief | Priority Outlays: $8,707.","$17,746"
multistep_7_p1,MULTI_STEP,learned,0.03721618350368087,3,0.3333333333333333,0.3333333333333333,"[NODE: multistep_7_program_a] type=row | Year: 2006 | Agency: Capital Markets Regulation Division | Program: Disaster Relief | Priority Outlays: $8,707. ||| [NODE: lookup_6_record] type=row | Year: 2005 | Agency: Infrastructure Finance Office | Program: Strategic Infrastructure Bonds | Allocations: $5,822 | The reported allocations for Strategic Infrastructure Bonds under Infrastructure Finance Office in 2005 were $5,822. ||| [NODE: compute_17_year_a] type=row | Year: 2016 | Agency: Congressional Appropriations Liaison | Program: Border Security Allocations | Administrative costs: $11,887.","$17,746"
multistep_7_p1,MULTI_STEP,oracle,0.1,1,0.3333333333333333,1.0,"[NODE: multistep_7_program_a] type=row | Year: 2006 | Agency: Capital Markets Regulation Division | Program: Disaster Relief | Priority Outlays: $8,707.","$17,746"
multidoc_2_p3,MULTI_DOC,fixed_default,0.05,2,0.0,0.0,"[NODE: lookup_2_record] type=row | Year: 2001 | Agency: Revenue Analysis Bureau | Program: Agency Payroll | Receipts: $5,274 | The reported receipts for Agency Payroll under Revenue Analysis Bureau in 2001 were $5,274. ||| [NODE: lookup_5_distractor] type=note | Year: 2003 | Agency: Budget Review Unit | Category: Administrative Overhead | Internal reference only. Do not use for budget reporting.",Revenue Analysis Bureau
multidoc_2_p3,MULTI_DOC,fixed_best,0.1,1,0.0,0.0,"[NODE: lookup_2_record] type=row | Year: 2001 | Agency: Revenue Analysis Bureau | Program: Agency Payroll | Receipts: $5,274 | The reported receipts for Agency Payroll under Revenue Analysis Bureau in 2001 were $5,274.",Revenue Analysis Bureau
multidoc_2_p3,MULTI_DOC,learned,0.03804362507311201,2,0.0,0.0,"[NODE: lookup_2_record] type=row | Year: 2001 | Agency: Revenue Analysis Bureau | Program: Agency Payroll | Receipts: $5,274 | The reported receipts for Agency Payroll under Revenue Analysis Bureau in 2001 were $5,274. ||| [NODE: lookup_5_distractor] type=note | Year: 2003 | Agency: Budget Review Unit | Category: Administrative Overhead | Internal reference only. Do not use for budget reporting.",Revenue Analysis Bureau
multidoc_2_p3,MULTI_DOC,oracle,0.001,5,0.5,0.2,"[NODE: lookup_2_record] type=row | Year: 2001 | Agency: Revenue Analysis Bureau | Program: Agency Payroll | Receipts: $5,274 | The reported receipts for Agency Payroll under Revenue Analysis Bureau in 2001 were $5,274. ||| [NODE: lookup_5_distractor] type=note | Year: 2003 | Agency: Budget Review Unit | Category: Administrative Overhead | Internal reference only. Do not use for budget reporting. ||| [NODE: lookup_15_record] type=row | Year: 2014 | Agency: Debt Issuance and Settlement Bureau | Program: Treasury Securities | Payments: $7,055 | The reported payments for Treasury Securities under Debt Issuance and Settlement Bureau in 2014 were $7,055. ||| [NODE: multidoc_2_doc_b] type=row | Source: Bulletin B | Year: 2001 | Agency: Budget Review Unit | Program: Tax Refund Processing | Expenditures: $6,666. ||| [NODE: multistep_24_program_b] type=row | Year: 2023 | Agency: Cash Management Office | Program: Agency Payroll | Priority Outlays: $10,348.",Revenue Analysis Bureau
lookup_24_p5,LOOKUP,fixed_default,0.05,1,1.0,1.0,"[NODE: lookup_24_record] type=row | Year: 2023 | Agency: Macroeconomic Policy Analysis Unit | Program: Space Program Appropriations | Net borrowing: $8,288 | The reported net borrowing for Space Program Appropriations under Macroeconomic Policy Analysis Unit in 2023 were $8,288.","$8,288"
lookup_24_p5,LOOKUP,fixed_best,0.1,1,1.0,1.0,"[NODE: lookup_24_record] type=row | Year: 2023 | Agency: Macroeconomic Policy Analysis Unit | Program: Space Program Appropriations | Net borrowing: $8,288 | The reported net borrowing for Space Program Appropriations under Macroeconomic Policy Analysis Unit in 2023 were $8,288.","$8,288"
lookup_24_p5,LOOKUP,learned,0.02484183399105198,2,1.0,0.5,"[NODE: lookup_24_record] type=row | Year: 2023 | Agency: Macroeconomic Policy Analysis Unit | Program: Space Program Appropriations | Net borrowing: $8,288 | The reported net borrowing for Space Program Appropriations under Macroeconomic Policy Analysis Unit in 2023 were $8,288. ||| [NODE: compute_0_year_b] type=row | Year: 2000 | Agency: Revenue Analysis Bureau | Program: Agency Payroll | Receipts: $10,250.","$8,288"
lookup_24_p5,LOOKUP,oracle,0.05,1,1.0,1.0,"[NODE: lookup_24_record] type=row | Year: 2023 | Agency: Macroeconomic Policy Analysis Unit | Program: Space Program Appropriations | Net borrowing: $8,288 | The reported net borrowing for Space Program Appropriations under Macroeconomic Policy Analysis Unit in 2023 were $8,288.","$8,288"
multistep_13_p4,MULTI_STEP,fixed_default,0.05,1,0.3333333333333333,1.0,"[NODE: multistep_13_program_b] type=row | Year: 2012 | Agency: Public Investment Accounting Division | Program: Pension Obligation Funding | Priority Outlays: $9,501.","$18,814"
multistep_13_p4,MULTI_STEP,fixed_best,0.1,1,0.3333333333333333,1.0,"[NODE: multistep_13_program_b] type=row | Year: 2012 | Agency: Public Investment Accounting Division | Program: Pension Obligation Funding | Priority Outlays: $9,501.","$18,814"
multistep_13_p4,MULTI_STEP,learned,0.028829744833395485,1,0.3333333333333333,1.0,"[NODE: multistep_13_program_b] type=row | Year: 2012 | Agency: Public Investment Accounting Division | Program: Pension Obligation Funding | Priority Outlays: $9,501.","$18,814"
multistep_13_p4,MULTI_STEP,oracle,0.05,1,0.3333333333333333,1.0,"[NODE: multistep_13_program_b] type=row | Year: 2012 | Agency: Public Investment Accounting Division | Program: Pension Obligation Funding | Priority Outlays: $9,501.","$18,814"
multidoc_19_p6,MULTI_DOC,fixed_default,0.05,1,0.5,1.0,"[NODE: multidoc_19_doc_a] type=row | Source: Bulletin A | Year: 2018 | Agency: Congressional Appropriations Liaison | Program: Cybersecurity Infrastructure | Operating expenses: $8,729.",Congressional Appropriations Liaison
multidoc_19_p6,MULTI_DOC,fixed_best,0.1,1,0.5,1.0,"[NODE: multidoc_19_doc_a] type=row | Source: Bulletin A | Year: 2018 | Agency: Congressional Appropriations Liaison | Program: Cybersecurity Infrastructure | Operating expenses: $8,729.",Congressional Appropriations Liaison
multidoc_19_p6,MULTI_DOC,learned,0.02997782679430661,4,0.5,0.25,"[NODE: multidoc_19_doc_a] type=row | Source: Bulletin A | Year: 2018 | Agency: Congressional Appropriations Liaison | Program: Cybersecurity Infrastructure | Operating expenses: $8,729. ||| [NODE: lookup_22_distractor] type=note | Year: 2020 | Agency: Risk and Compliance Analytics Bureau | Category: Administrative Overhead | Internal reference only. Do not use for budget reporting. ||| [NODE: multidoc_5_doc_a] type=row | Source: Bulletin A | Year: 2004 | Agency: Budget Review Unit | Program: Municipal Support | Allocations: $7,455. ||| [NODE: lookup_10_record] type=row | Year: 2009 | Agency: Fiscal Policy Oversight Bureau | Program: Cybersecurity Infrastructure | Assets: $6,370 | The reported assets for Cybersecurity Infrastructure under Fiscal Policy Oversight Bureau in 2009 were $6,370.",Congressional Appropriations Liaison
multidoc_19_p6,MULTI_DOC,oracle,0.05,1,0.5,1.0,"[NODE: multidoc_19_doc_a] type=row | Source: Bulletin A | Year: 2018 | Agency: Congressional Appropriations Liaison | Program: Cybersecurity Infrastructure | Operating expenses: $8,729.",Congressional Appropriations Liaison
compute_7_p4,COMPUTE,fixed_default,0.05,1,0.0,0.0,"[NODE: lookup_9_record] type=row | Year: 2008 | Agency: Audit and Compliance Division | Program: Pension Obligation Funding | Liabilities: $6,233 | The reported liabilities for Pension Obligation Funding under Audit and Compliance Division in 2008 were $6,233.",$341
compute_7_p4,COMPUTE,fixed_best,0.1,1,0.0,0.0,"[NODE: lookup_9_record] type=row | Year: 2008 | Agency: Audit and Compliance Division | Program: Pension Obligation Funding | Liabilities: $6,233 | The reported liabilities for Pension Obligation Funding under Audit and Compliance Division in 2008 were $6,233.",$341
compute_7_p4,COMPUTE,learned,0.042811203843175716,1,0.0,0.0,"[NODE: lookup_9_record] type=row | Year: 2008 | Agency: Audit and Compliance Division | Program: Pension Obligation Funding | Liabilities: $6,233 | The reported liabilities for Pension Obligation Funding under Audit and Compliance Division in 2008 were $6,233.",$341
compute_7_p4,COMPUTE,oracle,0.001,5,0.5,0.2,"[NODE: lookup_9_record] type=row | Year: 2008 | Agency: Audit and Compliance Division | Program: Pension Obligation Funding | Liabilities: $6,233 | The reported liabilities for Pension Obligation Funding under Audit and Compliance Division in 2008 were $6,233. ||| [NODE: multidoc_7_doc_b] type=row | Source: Bulletin B | Year: 2006 | Agency: Fiscal Policy Oversight Bureau | Program: Technology Modernization | Revenues: $7,081. ||| [NODE: compute_14_year_b] type=row | Year: 2014 | Agency: Interagency Coordination Office | Program: Pension Obligation Funding | Subsidies: $11,869. ||| [NODE: compute_7_year_b] type=row | Year: 2007 | Agency: Audit and Compliance Division | Program: Federal Reserve Contributions | Liabilities: $11,118. ||| [NODE: multistep_9_program_a] type=row | Year: 2008 | Agency: Strategic Reserve Management Office | Program: Public Health Transfers | Priority Outlays: $8,909.",$341
multistep_24_p5,MULTI_STEP,fixed_default,0.05,1,0.3333333333333333,1.0,"[NODE: multistep_24_program_a] type=row | Year: 2023 | Agency: Cash Management Office | Program: Veterans Benefits Processing | Priority Outlays: $10,424.","$20,772"
multistep_24_p5,MULTI_STEP,fixed_best,0.1,1,0.3333333333333333,1.0,"[NODE: multistep_24_program_a] type=row | Year: 2023 | Agency: Cash Management Office | Program: Veterans Benefits Processing | Priority Outlays: $10,424.","$20,772"
multistep_24_p5,MULTI_STEP,learned,0.04326956588390655,1,0.3333333333333333,1.0,"[NODE: multistep_24_program_a] type=row | Year: 2023 | Agency: Cash Management Office | Program: Veterans Benefits Processing | Priority Outlays: $10,424.","$20,772"
multistep_24_p5,MULTI_STEP,oracle,0.05,1,0.3333333333333333,1.0,"[NODE: multistep_24_program_a] type=row | Year: 2023 | Agency: Cash Management Office | Program: Veterans Benefits Processing | Priority Outlays: $10,424.","$20,772"
multistep_13_p5,MULTI_STEP,fixed_default,0.05,1,0.3333333333333333,1.0,"[NODE: multistep_13_program_a] type=row | Year: 2012 | Agency: Public Investment Accounting Division | Program: Social Safety Net Disbursements | Priority Outlays: $9,313.","$18,814"
multistep_13_p5,MULTI_STEP,fixed_best,0.1,1,0.3333333333333333,1.0,"[NODE: multistep_13_program_a] type=row | Year: 2012 | Agency: Public Investment Accounting Division | Program: Social Safety Net Disbursements | Priority Outlays: $9,313.","$18,814"
multistep_13_p5,MULTI_STEP,learned,0.032618998509670157,1,0.3333333333333333,1.0,"[NODE: multistep_13_program_a] type=row | Year: 2012 | Agency: Public Investment Accounting Division | Program: Social Safety Net Disbursements | Priority Outlays: $9,313.","$18,814"
multistep_13_p5,MULTI_STEP,oracle,0.001,5,0.6666666666666666,0.4,"[NODE: multistep_13_program_a] type=row | Year: 2012 | Agency: Public Investment Accounting Division | Program: Social Safety Net Disbursements | Priority Outlays: $9,313. ||| [NODE: multidoc_19_doc_a] type=row | Source: Bulletin A | Year: 2018 | Agency: Congressional Appropriations Liaison | Program: Cybersecurity Infrastructure | Operating expenses: $8,729. ||| [NODE: lookup_9_record] type=row | Year: 2008 | Agency: Audit and Compliance Division | Program: Pension Obligation Funding | Liabilities: $6,233 | The reported liabilities for Pension Obligation Funding under Audit and Compliance Division in 2008 were $6,233. ||| [NODE: multidoc_16_doc_a] type=row | Source: Bulletin A | Year: 2015 | Agency: Interagency Coordination Office | Program: Export Credit Assistance | Loan guarantees: $8,456. ||| [NODE: multistep_13_classification] type=metadata | Year: 2012 | Agency: Public Investment Accounting Division | Priority programs: Social Safety Net Disbursements; Pension Obligation Funding.","$18,814"
compute_7_p0,COMPUTE,fixed_default,0.05,1,0.5,1.0,"[NODE: compute_7_year_b] type=row | Year: 2007 | Agency: Audit and Compliance Division | Program: Federal Reserve Contributions | Liabilities: $11,118.",$341
compute_7_p0,COMPUTE,fixed_best,0.1,1,0.5,1.0,"[NODE: compute_7_year_b] type=row | Year: 2007 | Agency: Audit and Compliance Division | Program: Federal Reserve Contributions | Liabilities: $11,118.",$341
compute_7_p0,COMPUTE,learned,0.032029467887132346,1,0.5,1.0,"[NODE: compute_7_year_b] type=row | Year: 2007 | Agency: Audit and Compliance Division | Program: Federal Reserve Contributions | Liabilities: $11,118.",$341
compute_7_p0,COMPUTE,oracle,0.02,1,0.5,1.0,"[NODE: compute_7_year_b] type=row | Year: 2007 | Agency: Audit and Compliance Division | Program: Federal Reserve Contributions | Liabilities: $11,118.",$341
compute_8_p1,COMPUTE,fixed_default,0.05,2,0.0,0.0,"[NODE: lookup_10_record] type=row | Year: 2009 | Agency: Fiscal Policy Oversight Bureau | Program: Cybersecurity Infrastructure | Assets: $6,370 | The reported assets for Cybersecurity Infrastructure under Fiscal Policy Oversight Bureau in 2009 were $6,370. ||| [NODE: lookup_10_distractor] type=note | Year: 2008 | Agency: Fiscal Policy Oversight Bureau | Category: Administrative Overhead | Internal reference only. Do not use for budget reporting.",$354
compute_8_p1,COMPUTE,fixed_best,0.1,1,0.0,0.0,"[NODE: lookup_10_record] type=row | Year: 2009 | Agency: Fiscal Policy Oversight Bureau | Program: Cybersecurity Infrastructure | Assets: $6,370 | The reported assets for Cybersecurity Infrastructure under Fiscal Policy Oversight Bureau in 2009 were $6,370.",$354
compute_8_p1,COMPUTE,learned,0.04995614852820718,2,0.0,0.0,"[NODE: lookup_10_record] type=row | Year: 2009 | Agency: Fiscal Policy Oversight Bureau | Program: Cybersecurity Infrastructure | Assets: $6,370 | The reported assets for Cybersecurity Infrastructure under Fiscal Policy Oversight Bureau in 2009 were $6,370. ||| [NODE: lookup_10_distractor] type=note | Year: 2008 | Agency: Fiscal Policy Oversight Bureau | Category: Administrative Overhead | Internal reference only. Do not use for budget reporting.",$354
compute_8_p1,COMPUTE,oracle,0.5,0,0.0,0.0,,$354
lookup_19_p1,LOOKUP,fixed_default,0.05,1,1.0,1.0,"[NODE: lookup_19_record] type=row | Year: 2018 | Agency: Congressional Appropriations Liaison | Program: Social Safety Net Disbursements | Administrative costs: $7,603 | The reported administrative costs for Social Safety Net Disbursements under Congressional Appropriations Liaison in 2018 were $7,603.","$7,603"
lookup_19_p1,LOOKUP,fixed_best,0.1,1,1.0,1.0,"[NODE: lookup_19_record] type=row | Year: 2018 | Agency: Congressional Appropriations Liaison | Program: Social Safety Net Disbursements | Administrative costs: $7,603 | The reported administrative costs for Social Safety Net Disbursements under Congressional Appropriations Liaison in 2018 were $7,603.","$7,603"
lookup_19_p1,LOOKUP,learned,0.024264927180985413,1,1.0,1.0,"[NODE: lookup_19_record] type=row | Year: 2018 | Agency: Congressional Appropriations Liaison | Program: Social Safety Net Disbursements | Administrative costs: $7,603 | The reported administrative costs for Social Safety Net Disbursements under Congressional Appropriations Liaison in 2018 were $7,603.","$7,603"
lookup_19_p1,LOOKUP,oracle,0.01,1,1.0,1.0,"[NODE: lookup_19_record] type=row | Year: 2018 | Agency: Congressional Appropriations Liaison | Program: Social Safety Net Disbursements | Administrative costs: $7,603 | The reported administrative costs for Social Safety Net Disbursements under Congressional Appropriations Liaison in 2018 were $7,603.","$7,603"
multistep_1_p0,MULTI_STEP,fixed_default,0.05,1,0.3333333333333333,1.0,"[NODE: multistep_1_program_a] type=row | Year: 2000 | Agency: Infrastructure Finance Office | Program: Emergency Grants | Priority Outlays: $8,101.","$16,678"
multistep_1_p0,MULTI_STEP,fixed_best,0.1,1,0.3333333333333333,1.0,"[NODE: multistep_1_program_a] type=row | Year: 2000 | Agency: Infrastructure Finance Office | Program: Emergency Grants | Priority Outlays: $8,101.","$16,678"
multistep_1_p0,MULTI_STEP,learned,0.0342673560188664,3,0.3333333333333333,0.3333333333333333,"[NODE: multistep_1_program_a] type=row | Year: 2000 | Agency: Infrastructure Finance Office | Program: Emergency Grants | Priority Outlays: $8,101. ||| [NODE: compute_16_year_a] type=row | Year: 2015 | Agency: Public Investment Accounting Division | Program: Cybersecurity Infrastructure | Interest costs: $11,776. ||| [NODE: lookup_6_distractor] type=note | Year: 2004 | Agency: Infrastructure Finance Office | Category: Administrative Overhead | Internal reference only. Do not use for budget reporting.","$16,678"
multistep_1_p0,MULTI_STEP,oracle,0.05,1,0.3333333333333333,1.0,"[NODE: multistep_1_program_a] type=row | Year: 2000 | Agency: Infrastructure Finance Office | Program: Emergency Grants | Priority Outlays: $8,101.","$16,678"
compute_8_p2,COMPUTE,fixed_default,0.05,2,0.0,0.0,"[NODE: lookup_10_record] type=row | Year: 2009 | Agency: Fiscal Policy Oversight Bureau | Program: Cybersecurity Infrastructure | Assets: $6,370 | The reported assets for Cybersecurity Infrastructure under Fiscal Policy Oversight Bureau in 2009 were $6,370. ||| [NODE: lookup_10_distractor] type=note | Year: 2008 | Agency: Fiscal Policy Oversight Bureau | Category: Administrative Overhead | Internal reference only. Do not use for budget reporting.",$354
compute_8_p2,COMPUTE,fixed_best,0.1,1,0.0,0.0,"[NODE: lookup_10_record] type=row | Year: 2009 | Agency: Fiscal Policy Oversight Bureau | Program: Cybersecurity Infrastructure | Assets: $6,370 | The reported assets for Cybersecurity Infrastructure under Fiscal Policy Oversight Bureau in 2009 were $6,370.",$354
compute_8_p2,COMPUTE,learned,0.05394491007939418,2,0.0,0.0,"[NODE: lookup_10_record] type=row | Year: 2009 | Agency: Fiscal Policy Oversight Bureau | Program: Cybersecurity Infrastructure | Assets: $6,370 | The reported assets for Cybersecurity Infrastructure under Fiscal Policy Oversight Bureau in 2009 were $6,370. ||| [NODE: lookup_10_distractor] type=note | Year: 2008 | Agency: Fiscal Policy Oversight Bureau | Category: Administrative Overhead | Internal reference only. Do not use for budget reporting.",$354
compute_8_p2,COMPUTE,oracle,0.5,0,0.0,0.0,,$354
lookup_4_p2,LOOKUP,fixed_default,0.05,1,1.0,1.0,"[NODE: lookup_4_record] type=row | Year: 2003 | Agency: Cash Management Office | Program: Technology Modernization | Appropriations: $5,548 | The reported appropriations for Technology Modernization under Cash Management Office in 2003 were $5,548.","$5,548"
lookup_4_p2,LOOKUP,fixed_best,0.1,1,1.0,1.0,"[NODE: lookup_4_record] type=row | Year: 2003 | Agency: Cash Management Office | Program: Technology Modernization | Appropriations: $5,548 | The reported appropriations for Technology Modernization under Cash Management Office in 2003 were $5,548.","$5,548"
lookup_4_p2,LOOKUP,learned,0.04250682654209315,1,1.0,1.0,"[NODE: lookup_4_record] type=row | Year: 2003 | Agency: Cash Management Office | Program: Technology Modernization | Appropriations: $5,548 | The reported appropriations for Technology Modernization under Cash Management Office in 2003 were $5,548.","$5,548"
lookup_4_p2,LOOKUP,oracle,0.05,1,1.0,1.0,"[NODE: lookup_4_record] type=row | Year: 2003 | Agency: Cash Management Office | Program: Technology Modernization | Appropriations: $5,548 | The reported appropriations for Technology Modernization under Cash Management Office in 2003 were $5,548.","$5,548"
compute_0_p5,COMPUTE,fixed_default,0.05,1,0.5,1.0,"[NODE: compute_0_year_a] type=row | Year: 1999 | Agency: Revenue Analysis Bureau | Program: Agency Payroll | Receipts: $10,000.",$250
compute_0_p5,COMPUTE,fixed_best,0.1,1,0.5,1.0,"[NODE: compute_0_year_a] type=row | Year: 1999 | Agency: Revenue Analysis Bureau | Program: Agency Payroll | Receipts: $10,000.",$250
compute_0_p5,COMPUTE,learned,0.05211130539169568,1,0.5,1.0,"[NODE: compute_0_year_a] type=row | Year: 1999 | Agency: Revenue Analysis Bureau | Program: Agency Payroll | Receipts: $10,000.",$250
compute_0_p5,COMPUTE,oracle,0.05,1,0.5,1.0,"[NODE: compute_0_year_a] type=row | Year: 1999 | Agency: Revenue Analysis Bureau | Program: Agency Payroll | Receipts: $10,000.",$250
lookup_10_p2,LOOKUP,fixed_default,0.05,1,1.0,1.0,"[NODE: lookup_10_record] type=row | Year: 2009 | Agency: Fiscal Policy Oversight Bureau | Program: Cybersecurity Infrastructure | Assets: $6,370 | The reported assets for Cybersecurity Infrastructure under Fiscal Policy Oversight Bureau in 2009 were $6,370.","$6,370"
lookup_10_p2,LOOKUP,fixed_best,0.1,1,1.0,1.0,"[NODE: lookup_10_record] type=row | Year: 2009 | Agency: Fiscal Policy Oversight Bureau | Program: Cybersecurity Infrastructure | Assets: $6,370 | The reported assets for Cybersecurity Infrastructure under Fiscal Policy Oversight Bureau in 2009 were $6,370.","$6,370"
lookup_10_p2,LOOKUP,learned,0.039631026232887265,1,1.0,1.0,"[NODE: lookup_10_record] type=row | Year: 2009 | Agency: Fiscal Policy Oversight Bureau | Program: Cybersecurity Infrastructure | Assets: $6,370 | The reported assets for Cybersecurity Infrastructure under Fiscal Policy Oversight Bureau in 2009 were $6,370.","$6,370"
lookup_10_p2,LOOKUP,oracle,0.02,1,1.0,1.0,"[NODE: lookup_10_record] type=row | Year: 2009 | Agency: Fiscal Policy Oversight Bureau | Program: Cybersecurity Infrastructure | Assets: $6,370 | The reported assets for Cybersecurity Infrastructure under Fiscal Policy Oversight Bureau in 2009 were $6,370.","$6,370"
compute_23_p4,COMPUTE,fixed_default,0.05,1,0.5,1.0,"[NODE: compute_23_year_a] type=row | Year: 2022 | Agency: Treasury Operations Office | Program: Infrastructure Loans | Outlays: $12,553.",$315
compute_23_p4,COMPUTE,fixed_best,0.1,1,0.5,1.0,"[NODE: compute_23_year_a] type=row | Year: 2022 | Agency: Treasury Operations Office | Program: Infrastructure Loans | Outlays: $12,553.",$315
compute_23_p4,COMPUTE,learned,0.03196237593811971,1,0.5,1.0,"[NODE: compute_23_year_a] type=row | Year: 2022 | Agency: Treasury Operations Office | Program: Infrastructure Loans | Outlays: $12,553.",$315
compute_23_p4,COMPUTE,oracle,0.05,1,0.5,1.0,"[NODE: compute_23_year_a] type=row | Year: 2022 | Agency: Treasury Operations Office | Program: Infrastructure Loans | Outlays: $12,553.",$315
multidoc_20_p3,MULTI_DOC,fixed_default,0.05,1,0.0,0.0,"[NODE: lookup_23_record] type=row | Year: 2022 | Agency: Sovereign Debt Operations Center | Program: Border Security Allocations | Budget authority: $8,151 | The reported budget authority for Border Security Allocations under Sovereign Debt Operations Center in 2022 were $8,151.",Municipal Finance Advisory Board
multidoc_20_p3,MULTI_DOC,fixed_best,0.1,1,0.0,0.0,"[NODE: lookup_23_record] type=row | Year: 2022 | Agency: Sovereign Debt Operations Center | Program: Border Security Allocations | Budget authority: $8,151 | The reported budget authority for Border Security Allocations under Sovereign Debt Operations Center in 2022 were $8,151.",Municipal Finance Advisory Board
multidoc_20_p3,MULTI_DOC,learned,0.037917729365054664,1,0.0,0.0,"[NODE: lookup_23_record] type=row | Year: 2022 | Agency: Sovereign Debt Operations Center | Program: Border Security Allocations | Budget authority: $8,151 | The reported budget authority for Border Security Allocations under Sovereign Debt Operations Center in 2022 were $8,151.",Municipal Finance Advisory Board
multidoc_20_p3,MULTI_DOC,oracle,0.001,5,0.5,0.2,"[NODE: lookup_23_record] type=row | Year: 2022 | Agency: Sovereign Debt Operations Center | Program: Border Security Allocations | Budget authority: $8,151 | The reported budget authority for Border Security Allocations under Sovereign Debt Operations Center in 2022 were $8,151. ||| [NODE: multidoc_20_doc_a] type=row | Source: Bulletin A | Year: 2019 | Agency: Municipal Finance Advisory Board | Program: Border Security Allocations | Capital expenditures: $8,820. ||| [NODE: compute_11_year_a] type=row | Year: 2010 | Agency: Federal Disbursement Authority | Program: Defense Procurement Transfers | Balances: $11,221. ||| [NODE: lookup_21_distractor] type=note | Year: 2019 | Agency: Federal Asset Liquidation Office | Category: Administrative Overhead | Internal reference only. Do not use for budget reporting. ||| [NODE: multistep_0_program_a] type=row | Year: 1999 | Agency: Budget Review Unit | Program: Debt Servicing | Priority Outlays: $8,000.",Municipal Finance Advisory Board
compute_23_p1,COMPUTE,fixed_default,0.05,1,0.0,0.0,"[NODE: lookup_0_record] type=row | Year: 1999 | Agency: Treasury Operations Office | Program: Debt Servicing | Outlays: $5,000 | The reported outlays for Debt Servicing under Treasury Operations Office in 1999 were $5,000.",$315
compute_23_p1,COMPUTE,fixed_best,0.1,1,0.0,0.0,"[NODE: lookup_0_record] type=row | Year: 1999 | Agency: Treasury Operations Office | Program: Debt Servicing | Outlays: $5,000 | The reported outlays for Debt Servicing under Treasury Operations Office in 1999 were $5,000.",$315
compute_23_p1,COMPUTE,learned,0.05881827128054314,1,0.0,0.0,"[NODE: lookup_0_record] type=row | Year: 1999 | Agency: Treasury Operations Office | Program: Debt Servicing | Outlays: $5,000 | The reported outlays for Debt Servicing under Treasury Operations Office in 1999 were $5,000.",$315
compute_23_p1,COMPUTE,oracle,0.5,0,0.0,0.0,,$315
lookup_4_p5,LOOKUP,fixed_default,0.05,1,1.0,1.0,"[NODE: lookup_4_record] type=row | Year: 2003 | Agency: Cash Management Office | Program: Technology Modernization | Appropriations: $5,548 | The reported appropriations for Technology Modernization under Cash Management Office in 2003 were $5,548.","$5,548"
lookup_4_p5,LOOKUP,fixed_best,0.1,1,1.0,1.0,"[NODE: lookup_4_record] type=row | Year: 2003 | Agency: Cash Management Office | Program: Technology Modernization | Appropriations: $5,548 | The reported appropriations for Technology Modernization under Cash Management Office in 2003 were $5,548.","$5,548"
lookup_4_p5,LOOKUP,learned,0.04314111306161062,1,1.0,1.0,"[NODE: lookup_4_record] type=row | Year: 2003 | Agency: Cash Management Office | Program: Technology Modernization | Appropriations: $5,548 | The reported appropriations for Technology Modernization under Cash Management Office in 2003 were $5,548.","$5,548"
lookup_4_p5,LOOKUP,oracle,0.05,1,1.0,1.0,"[NODE: lookup_4_record] type=row | Year: 2003 | Agency: Cash Management Office | Program: Technology Modernization | Appropriations: $5,548 | The reported appropriations for Technology Modernization under Cash Management Office in 2003 were $5,548.","$5,548"
